CookerStat, GenerateAssetRegistry=0.015646, Initialize=0.081349, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdA6920936470C39A241D8D1A5EC1176D7_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_F48516654B91429EF331558F7243EBEA__170B4E82D2342DA1969873FE96372720F7A8DB19, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=131332, Duration=3.044106, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_F48516654B91429EF331558F7243EBEA__F71036E87876A9E94CD42BCEC18A32ADB83BA07E, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=33028, Duration=2.617158, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdDCB6F0264B4FC6D40C099C8421310F57_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_F48516654B91429EF331558F7243EBEA__9174E9942C7982073FADFDFECC7D8EB62BCC079C, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=8452, Duration=2.602086, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_F48516654B91429EF331558F7243EBEA__ED03BE6C057916524D6BA981CCEDF1DE8DB998FF, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=4143, Duration=1.564719, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdF1395CF5419A0746F1C38FB6416A196A_10, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_29F1D71B49D4E143AAF472B1358D5E86_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-21.29.34, Duration=20.735319, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdDCB6F0264B4FC6D40C099C8421310F57_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_29F1D71B49D4E143AAF472B1358D5E86__5ACEB2096399EAABE1B62F8275FD11ED8A688079, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=131332, Duration=2.153233, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdA6920936470C39A241D8D1A5EC1176D7_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_29F1D71B49D4E143AAF472B1358D5E86__6DED7649F560F22AC1A1563E25311CE0E74DB59B, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=33028, Duration=2.594974, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_29F1D71B49D4E143AAF472B1358D5E86__59ED342C1C076429C71867B1E35052B80B155CCB, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=8452, Duration=2.714153, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdF1395CF5419A0746F1C38FB6416A196A_11, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_D426BD0E437CF86378CAD49EDB906B73_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-21.29.34, Duration=2.723828, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdDCB6F0264B4FC6D40C099C8421310F57_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_29F1D71B49D4E143AAF472B1358D5E86__5B446C823111FF7B71B399931E2A438BA7E8F3B8, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=4143, Duration=1.674797, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
